iterations,mean_incremental_cost_irr,mean_incremental_qaly,mean_incremental_nmb_irr,p2_5_incremental_cost_irr,p97_5_incremental_cost_irr,p2_5_incremental_qaly,p97_5_incremental_qaly,probability_cost_effective,probability_mcse,relative_change_mean_cost,relative_change_mean_qaly,absolute_change_probability,converged_from_previous_checkpoint
50,33582368054.03186,0.2078213437238596,-29841583867.002388,31619821072.022236,35448344877.98785,0.10430620104947363,0.3621167297824265,0.0,0.0,,,,false
100,33588903965.130825,0.21876140738775898,-29651198632.15117,31552268487.368446,35457927748.329285,0.10529863190477853,0.40087079045971363,0.0,0.0,0.00019462329423728644,0.052641675142067565,0.0,false
200,33473060457.109337,0.22989079779918545,-29335026096.724003,31361732941.513504,35553962072.44153,0.11142048848121837,0.40828081917093884,0.0,0.0,0.0034488624023501085,0.05087456029984026,0.0,false
300,33463368779.20526,0.22752329555581288,-29367949459.200626,31387188023.056187,35584417592.429085,0.11213970033463323,0.4147764294468755,0.0,0.0,0.00028953665340801575,0.010298377603790081,0.0,false
400,33427912301.137993,0.22928852926480275,-29300718774.371548,31362906164.465958,35587714882.03311,0.11142048848121837,0.4214233485437727,0.0,0.0,0.0010595609276882387,0.007758474597854306,0.0,true
500,33464365240.164627,0.23044166213314737,-29316415321.76797,31386465986.03164,35556967805.70002,0.11213970033463323,0.41933328264554465,0.0,0.0,0.0010904940367871326,0.0050291781801822255,0.0,true
1000,33540284651.89233,0.23439459730119033,-29321181900.4709,31413825667.675385,35511505684.156555,0.10799907787975822,0.43950737195065814,0.0,0.0,0.0022686643294396944,0.01715373483879397,0.0,false
2500,33493564739.879326,0.2335520923400054,-29289627077.75924,31263194062.610546,35524127031.30695,0.1096467149573473,0.4442004644399929,0.0,0.0,0.0013929491803036436,0.0035943872891504255,0.0,true
