price_reduction_percent,factor_price_irr_per_iu,incremental_cost_billion_irr,incremental_qaly,icer_billion_irr_per_qaly,inmb_billion_irr_per_patient,cost_effective_at_primary_wtp
0.0,58000.0,33.542613741039816,0.24027721582996975,139.59964379134465,-29.217623856100357,0.0
20.0,46400.0,26.83409099283185,0.24027721582996975,111.67971503307571,-22.509101107892395,0.0
40.0,34800.0,20.125568244623885,0.24027721582996975,83.75978627480677,-15.800578359684431,0.0
50.0,29000.0,16.771306870519908,0.24027721582996975,69.79982189567232,-12.446316985580452,0.0
60.0,23200.0,13.417045496415925,0.24027721582996975,55.839857516537855,-9.092055611476471,0.0
70.0,17400.000000000004,10.062784122311944,0.24027721582996975,41.8798931374034,-5.73779423737249,0.0
80.0,11599.999999999998,6.708522748207961,0.24027721582996975,27.91992875826892,-2.383532863268506,0.0
85.0,8700.000000000002,5.031392061155972,0.24027721582996975,20.9399465687017,-0.7064021762165175,0.0
87.0,7540.0,4.360539786335176,0.24027721582996975,18.1479536928748,-0.03554990139572048,0.0
87.5,7250.0,4.192826717629977,0.24027721582996975,17.44995547391808,0.13216316730947827,1.0
90.0,5799.999999999999,3.3542613741039804,0.24027721582996975,13.95996437913446,0.9707285108354745,1.0
95.0,2900.0000000000027,1.6771306870519922,0.24027721582996975,6.979982189567239,2.647859197887463,1.0
