metric,n,mean,sd,median,p2_5,p97_5
incremental_cost_irr,2500,33384845972.564182,1102962219.1295185,33455758908.807808,31168882146.642517,35411054002.2943
incremental_qaly,2500,0.23355209234000535,0.08650188108227401,0.2169629495020855,0.1096467149573473,0.4442004644399929
icer_irr_per_qaly,2500,162963538349.57416,61393494289.002525,153722310156.16266,74806524646.97997,307219918488.026
incremental_nmb_irr,2500,-29180908310.44408,1969988070.984051,-29370349975.97718,-32573388384.001087,-24961906859.673676
mean_bleeds_avoided,2500,117.41813456000001,12.466244132749388,117.66999999999999,93.62905,140.061755
absolute_mortality_reduction,2500,0.01465072,0.01301607539810321,0.0108,0.001,0.04941000000000004
relative_mortality_reduction,2500,0.6490809219391094,0.19721737506615264,0.6912672476397966,0.1724137931034483,0.912229801559178
