n_patients,incremental_cost_irr,incremental_qaly,relative_change_cost,relative_change_qaly,converged
10000,33549943219.703487,0.2445946032494133,,,false
25000,33543811584.650158,0.24116802306124274,0.00018276141372806947,0.014009222373056452,false
50000,33542613741.039814,0.24027721582996975,0.00003570982407056189,0.0036937203364095276,true
100000,33542053440.64435,0.2382102069037737,0.000016704136409629765,0.008602600621353745,true
