scenario,n_patients_per_strategy,prophylaxis_cost_irr,on_demand_cost_irr,prophylaxis_qaly,on_demand_qaly,incremental_cost_irr,incremental_qaly,icer_irr_per_qaly,wtp_irr_per_qaly,incremental_nmb_irr,prophylaxis_cost_effective,prophylaxis_mean_cost_irr,prophylaxis_mean_qaly,prophylaxis_mean_life_years,prophylaxis_mean_factor_iu,prophylaxis_mean_joint_bleeds,prophylaxis_mean_non_major_non_joint_bleeds,prophylaxis_mean_non_ich_major_bleeds,prophylaxis_mean_ich,prophylaxis_mean_total_bleeds,prophylaxis_joint_bleed_rate_per_person_year,prophylaxis_non_major_non_joint_rate_per_person_year,prophylaxis_non_ich_major_rate_per_person_year,prophylaxis_ich_rate_per_person_year,prophylaxis_total_bleed_rate_per_person_year,prophylaxis_mean_pettersson_score,prophylaxis_survival_probability,prophylaxis_alive_at_end,prophylaxis_deaths_total,prophylaxis_deaths_background,prophylaxis_deaths_ich,prophylaxis_all_cause_mortality_probability,prophylaxis_post_ich_ever_count,prophylaxis_post_ich_ever_probability,on_demand_mean_cost_irr,on_demand_mean_qaly,on_demand_mean_life_years,on_demand_mean_factor_iu,on_demand_mean_joint_bleeds,on_demand_mean_non_major_non_joint_bleeds,on_demand_mean_non_ich_major_bleeds,on_demand_mean_ich,on_demand_mean_total_bleeds,on_demand_joint_bleed_rate_per_person_year,on_demand_non_major_non_joint_rate_per_person_year,on_demand_non_ich_major_rate_per_person_year,on_demand_ich_rate_per_person_year,on_demand_total_bleed_rate_per_person_year,on_demand_mean_pettersson_score,on_demand_survival_probability,on_demand_alive_at_end,on_demand_deaths_total,on_demand_deaths_background,on_demand_deaths_ich,on_demand_all_cause_mortality_probability,on_demand_post_ich_ever_count,on_demand_post_ich_ever_probability,mean_bleeds_avoided,relative_bleed_reduction,absolute_mortality_reduction,relative_mortality_reduction,deaths_avoided_per_1000,incremental_cost_per_bleed_avoided_irr
base_case,50000,40674548797.38663,7246701974.543728,8.062674314200194,7.8223970983702245,33427846822.8429,0.24027721582996975,139122000008.93073,18000000000.0,-29102856937.903442,false,40674548797.38663,8.062674314200194,10.970846877495443,1002613.5243105792,11.54382,21.77828,0.15642,0.0039,33.48242,1.0522268817441887,1.9851047273910913,0.01425778718330899,0.00035548759758921534,3.0519448839161782,0.37418,0.9948,49740,260,245,15,0.0052,50,0.001,7246701974.543728,7.8223970983702245,10.883083142965914,178487.21259334014,107.267,42.1116,0.70476,0.18736,150.27072,9.856306213127676,3.8694549556223947,0.06475738453358312,0.0172157096972191,13.807734262980873,7.79114,0.97894,48947,1053,244,809,0.02106,2142,0.04284,116.78830000000002,0.7771860013713917,0.01586,0.7530864197530864,15.86,286225990.299053
joint_fraction,50000,40676224223.92539,7246228166.614729,8.06264622990569,7.822401725257513,33429996057.31066,0.24024450464817715,139149888594.81622,18000000000.0,-29105594973.64347,false,40676224223.92539,8.06264622990569,10.970846877495443,1002653.3868605793,25.48188,7.87934,0.15642,0.0039,33.52154,2.322690334168378,0.71820708902272,0.01425778718330899,0.00035548759758921534,3.055510697971996,1.49292,0.9948,49740,260,245,15,0.0052,50,0.001,7246228166.614729,7.822401725257513,10.883083142965914,178475.84996449394,114.20888,35.15972,0.70476,0.18736,150.26072,10.494165899469111,3.2306764120170173,0.06475738453358312,0.0172157096972191,13.80681540571693,8.32272,0.97894,48947,1053,244,809,0.02106,2142,0.04284,116.73917999999999,0.7769108253973493,0.01586,0.7530864197530864,15.86,286364835.3304406
ich_fraction,50000,40613911024.38534,7247855803.89745,8.029747747325851,7.810255492416418,33366055220.48789,0.2194922549094338,152014727053.8329,18000000000.0,-29415194632.11808,false,40613911024.38534,8.029747747325851,10.95152144155132,1000938.8046791861,11.52266,21.69642,0.1562,0.04426,33.41954,1.052151526296768,1.9811329517815957,0.01426285843785681,0.0040414475957717185,3.051588784111992,0.37288,0.99122,49561,439,245,194,0.00878,461,0.00922,7247855803.89745,7.810255492416418,10.875693997650291,178505.26185155724,107.19582,42.06508,0.70364,0.20154,150.16608,9.856457898057798,3.8678065058733924,0.06469839995057074,0.01853123120635272,13.807494035088114,7.7857,0.97796,48898,1102,245,857,0.02204,2322,0.04644,116.74654,0.7774494746083803,0.013260000000000001,0.6016333938294011,13.260000000000002,285799092.80812854
mild_arthropathy_no_decrement,50000,40674548797.38663,7246701974.543728,8.062674314200194,7.8223970983702245,33427846822.8429,0.24027721582996975,139122000008.93073,18000000000.0,-29102856937.903442,false,40674548797.38663,8.062674314200194,10.970846877495443,1002613.5243105792,11.54382,21.77828,0.15642,0.0039,33.48242,1.0522268817441887,1.9851047273910913,0.01425778718330899,0.00035548759758921534,3.0519448839161782,0.37418,0.9948,49740,260,245,15,0.0052,50,0.001,7246701974.543728,7.8223970983702245,10.883083142965914,178487.21259334014,107.267,42.1116,0.70476,0.18736,150.27072,9.856306213127676,3.8694549556223947,0.06475738453358312,0.0172157096972191,13.807734262980873,7.79114,0.97894,48947,1053,244,809,0.02106,2142,0.04284,116.78830000000002,0.7771860013713917,0.01586,0.7530864197530864,15.86,286225990.299053
post_ich_mild_utility,50000,40674548797.38663,7246701974.543728,8.064179766857091,7.895487177969832,33427846822.8429,0.16869258888725902,198158360384.06802,18000000000.0,-30391380222.87224,false,40674548797.38663,8.064179766857091,10.970846877495443,1002613.5243105792,11.54382,21.77828,0.15642,0.0039,33.48242,1.0522268817441887,1.9851047273910913,0.01425778718330899,0.00035548759758921534,3.0519448839161782,0.37418,0.9948,49740,260,245,15,0.0052,50,0.001,7246701974.543728,7.895487177969832,10.883083142965914,178487.21259334014,107.267,42.1116,0.70476,0.18736,150.27072,9.856306213127676,3.8694549556223947,0.06475738453358312,0.0172157096972191,13.807734262980873,7.79114,0.97894,48947,1053,244,809,0.02106,2142,0.04284,116.78830000000002,0.7771860013713917,0.01586,0.7530864197530864,15.86,286225990.299053
no_discount,50000,58151584410.01359,10352258330.413727,10.411221906114253,10.081492616726887,47799326079.59986,0.329729289387366,144965362853.9053,18000000000.0,-41864198870.62727,false,58151584410.01359,10.411221906114253,10.970846877495443,1002613.5243105792,11.54382,21.77828,0.15642,0.0039,33.48242,1.0522268817441887,1.9851047273910913,0.01425778718330899,0.00035548759758921534,3.0519448839161782,0.37418,0.9948,49740,260,245,15,0.0052,50,0.001,10352258330.413727,10.081492616726887,10.883083142965914,178487.21259334014,107.267,42.1116,0.70476,0.18736,150.27072,9.856306213127676,3.8694549556223947,0.06475738453358312,0.0172157096972191,13.807734262980873,7.79114,0.97894,48947,1053,244,809,0.02106,2142,0.04284,116.78830000000002,0.7771860013713917,0.01586,0.7530864197530864,15.86,409281803.73890066
