strategy,calibration_target,target_rate_per_person_year,simulated_rate_per_person_year,relative_error,absolute_relative_error,within_5_percent,person_year_exposure,expected_events,observed_events,poisson_z_score,within_poisson_95_percent
prophylaxis,joint_bleed,1.05,1.0522268817441887,0.002120839756370108,0.002120839756370108,true,548542.3438747722,575969.4610685108,577191.0,1.6095615334172024,1.0
prophylaxis,non_major_non_joint_bleed,1.985396,1.9851047273910913,-0.00014670756307990916,0.00014670756307990916,true,548542.3438747722,1089073.7753595973,1088914.0,-0.15310210203240673,1.0
prophylaxis,non_ich_major_bleed,0.014274,0.01425778718330899,-0.0011358285477798642,0.0011358285477798642,true,548542.3438747722,7829.893416468499,7821.0,-0.10050570288404942,1.0
prophylaxis,intracranial_hemorrhage,0.00033,0.00035548759758921534,0.07723514420974346,0.07723514420974346,false,548542.3438747722,181.01897347867484,195.0,1.039147053873895,1.0
prophylaxis,total_bleed,3.05,3.0519448839161782,0.0006376668577634162,0.0006376668577634162,true,548542.3438747722,1673054.1488180552,1674121.0,0.8248003642651551,1.0
on_demand,joint_bleed,9.85,9.856306213127676,0.0006402246830127791,0.0006402246830127791,true,544154.1571482957,5359918.447910712,5363350.0,1.482216026295132,1.0
on_demand,non_major_non_joint_bleed,3.868416000000001,3.8694549556223947,0.00026857391304180664,0.00026857391304180664,true,544154.1571482957,2105014.647978982,2105580.0,0.3896649901273033,1.0
on_demand,non_ich_major_bleed,0.064584,0.06475738453358312,0.0026846360334312025,0.0026846360334312025,true,544154.1571482957,35143.65208526553,35238.0,0.5032790593450535,1.0
on_demand,intracranial_hemorrhage,0.017,0.0172157096972191,0.012688805718770579,0.012688805718770579,true,544154.1571482957,9250.620671521026,9368.0,1.2204111989282354,1.0
on_demand,total_bleed,13.8,13.807734262980873,0.0005604538391936142,0.0005604538391936142,true,544154.1571482957,7509327.36864648,7513536.0,1.5358201717098796,1.0
