n_patients_per_strategy,reference_patients,common_iterations,mean_incremental_cost_irr,mean_incremental_qaly,relative_mean_difference_cost,relative_mean_difference_qaly,paired_rmse_cost_irr,paired_rmse_qaly,noise_to_parameter_sd_cost,noise_to_parameter_sd_qaly,cost_effectiveness_agreement,means_within_threshold
1000,10000,40,33434447341.134064,0.2478878949561651,9.189344370157002e-6,0.002252673797847838,56093686.15377083,0.02800468771013945,0.04797872014224469,0.28838833043109435,1.0,true
2500,10000,40,33437235676.073467,0.24545126827060026,0.00009258718055759772,0.0075990198925051395,31365462.309413422,0.016473558583902842,0.02669730405615497,0.16856805333555938,1.0,true
5000,10000,40,33433792779.293854,0.24581394365635445,0.000010388304051111023,0.006132661984398833,19862579.22571535,0.00804423911459524,0.01698675518308385,0.08136861466475033,1.0,true
10000,10000,40,33434140103.306934,0.2473307394799363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
