Age,M,F
0,603602,574097
1,614610,584341
2,623529,592306
3,643962,611012
4,695114,658702
5,753884,713909
6,788510,746929
7,799245,754477
8,792922,745061
9,772408,726028
10,746189,702758
11,722343,681567
12,705563,666613
13,693627,655763
14,680842,644013
15,667138,631418
16,653798,619429
17,637433,604923
18,616914,586721
19,600341,572113
20,591797,564890
21,589014,562363
22,589824,562623
23,594117,566788
24,599208,574216
25,601040,581048
26,610569,593061
27,635192,615071
28,671377,647938
29,713627,687542
30,756553,727908
31,810793,780279
32,859196,826431
33,888648,854125
34,904461,869500
35,903650,873520
36,928702,899994
37,952750,922283
38,947174,917788
39,920730,889528
40,871962,839827
41,851420,815602
42,827904,789964
43,773894,740327
44,721765,692968
45,675294,649089
46,647640,619996
47,624584,594997
48,594206,565273
49,572943,544681
50,552848,525283
51,552346,524270
52,546537,520100
53,518169,496880
54,494570,480068
55,459760,453265
56,436753,435939
57,418043,419612
58,395868,395454
59,388514,385643
60,379928,376886
61,372012,371202
62,359033,360906
63,339567,342712
64,323073,326991
65,303587,307712
66,285367,289505
67,272673,275283
68,260190,261810
69,250642,251737
70,244226,242994
71,234568,232323
72,220284,218851
73,203909,202612
74,176103,176344
75,149450,153782
76,134004,141386
77,119197,128049
78,105368,115471
79,92537,103835
80,80641,93102
81,69555,82968
82,59301,73412
83,50174,64712
84,42118,56788
85,34350,48779
86,26833,40484
87,20177,32600
88,14835,25803
89,10748,20123
90,7583,15257
91,5189,11205
92,3446,7981
93,2224,5524
94,1389,3702
95,842,2408
96,497,1528
97,281,933
98,149,538
99,74,292
100+,56,261
