Age,M,F
0,754633,714527
1,788510,746837
2,799309,754299
3,793258,745026
4,772925,726120
5,746729,702893
6,722777,681641
7,705755,666460
8,693402,655134
9,679984,642580
10,665422,628837
11,651048,615412
12,633570,599295
13,611953,579455
14,594397,563336
15,585044,554846
16,581633,551359
17,581987,550986
18,586009,554843
19,591000,562259
20,592883,569321
21,602691,581771
22,627856,604399
23,664787,638029
24,707921,678493
25,751809,719778
26,807145,773136
27,856629,820261
28,887036,848859
29,903701,865071
30,903610,869860
31,929595,897172
32,954575,920269
33,949712,916460
34,923809,888755
35,875398,839489
36,855494,815804
37,832591,790681
38,778865,741400
39,727000,694379
40,680820,650822
41,653679,622131
42,631193,597545
43,601274,568178
44,580615,548009
45,561152,529036
46,561702,528660
47,556888,525109
48,529048,502291
49,506070,485976
50,471551,459524
51,449161,442725
52,431209,426969
53,409712,403265
54,403659,394263
55,396423,386417
56,389952,381815
57,378119,372506
58,359293,355027
59,343421,340082
60,324191,321399
61,306199,303818
62,294067,290402
63,282137,277781
64,273418,268803
65,268290,261375
66,259940,252076
67,246895,239929
68,231898,224859
69,203900,198528
70,176913,176145
71,162882,165292
72,149516,153373
73,137194,142332
74,125804,132300
75,115188,123199
76,105317,114761
77,95853,106763
78,86816,99334
79,78350,92418
80,69544,84793
81,60074,75828
82,50644,66347
83,42163,57507
84,34803,49462
85,28134,41681
86,22210,34325
87,17154,27675
88,12989,21895
89,9608,16942
90,6987,12898
91,5042,9740
92,3580,7237
93,2478,5232
94,1675,3685
95,1087,2494
96,660,1583
97,378,948
98,208,546
99,110,302
100+,106,311
