Age,M,F
0,795227,747639
1,772114,726206
2,745894,702780
3,720920,680380
4,705290,665596
5,693712,654644
6,680434,642280
7,665983,628691
8,651822,615463
9,634188,599102
10,612268,578858
11,594729,562611
12,586076,554805
13,583601,552600
14,584236,552626
15,588049,555994
16,593296,562867
17,596524,570213
18,606226,582191
19,631563,605323
20,667932,638679
21,710638,679700
22,754514,721983
23,807693,773604
24,858274,822034
25,888630,850372
26,906824,867971
27,909034,873964
28,929241,896454
29,956107,920620
30,950471,915261
31,928227,890405
32,882029,842592
33,856573,814339
34,834883,790652
35,781426,742143
36,729775,695309
37,684852,652458
38,656140,621874
39,635501,598675
40,606218,569809
41,585109,549800
42,566940,532551
43,563240,528550
44,561569,527423
45,533961,504701
46,511025,487884
47,479013,463776
48,453791,444186
49,438433,431031
50,416550,407308
51,410486,398043
52,404548,391249
53,397212,385321
54,387257,377825
55,368283,360421
56,351546,344969
57,333654,327481
58,314625,308924
59,302562,296207
60,291154,283652
61,282664,275069
62,277913,268099
63,269906,259253
64,257144,247533
65,242486,232843
66,214280,206470
67,187106,184151
68,173603,173870
69,160842,162512
70,149222,152117
71,138625,142832
72,128883,134593
73,119981,127131
74,111528,120204
75,103522,113960
76,96099,108338
77,88048,101856
78,78766,93606
79,68961,84405
80,59737,75579
81,51375,67308
82,43346,58865
83,35792,50434
84,28999,42414
85,23114,35097
86,18068,28488
87,13938,22826
88,10700,18202
89,8105,14337
90,5995,11033
91,4340,8306
92,3035,6049
93,2009,4169
94,1268,2738
95,778,1748
96,459,1077
97,263,642
98,150,377
99,83,216
100+,85,232
