Age,M,F
0,620407,589147
1,640744,607878
2,692539,656140
3,751881,711841
4,786938,745239
5,797975,753069
6,791864,743875
7,771505,725024
8,745407,701889
9,721621,680749
10,704769,665668
11,692540,654415
12,679168,641897
13,664566,628144
14,650057,614659
15,632333,598432
16,610370,578441
17,592380,562139
18,582545,553449
19,578668,549766
20,578631,549217
21,582362,552923
22,587174,560216
23,588986,567185
24,598750,579564
25,623831,602125
26,660639,635683
27,703620,676072
28,747338,717278
29,802441,770529
30,851699,817549
31,881957,846073
32,898526,862233
33,898412,866994
34,924244,894218
35,949036,917218
36,944107,913365
37,918211,885665
38,869901,836460
39,849919,812760
40,826912,787600
41,773265,738358
42,721477,691362
43,675346,647818
44,648120,619080
45,625487,594409
46,595476,564981
47,574626,544705
48,554929,525610
49,555013,525006
50,549701,521193
51,521650,498259
52,498399,481762
53,463788,455186
54,441163,438190
55,422858,422157
56,401094,398272
57,394392,388873
58,386449,380558
59,379175,375392
60,366622,365524
61,347335,347646
62,331005,332259
63,311540,313222
64,293402,295298
65,280943,281413
66,268722,268310
67,259589,258721
68,253813,250583
69,244885,240586
70,231337,227785
71,215703,212129
72,187906,185881
73,161269,163538
74,146516,151888
75,132321,139181
76,118999,127183
77,106552,116083
78,94921,105862
79,84081,96267
80,73785,87112
81,64084,78504
82,55307,70527
83,46711,62221
84,38065,53219
85,30012,44294
86,23218,36332
87,17718,29427
88,13188,23237
89,9544,17837
90,6724,13331
91,4622,9722
92,3088,6895
93,2021,4787
94,1310,3279
95,824,2180
96,490,1377
97,279,831
98,149,473
99,73,246
100+,62,221
