Age,M,F
0,790096,748269
1,799787,754821
2,793513,745289
3,773264,726402
4,747168,703216
5,723230,681963
6,706159,666751
7,693727,655380
8,680232,642784
9,665630,629019
10,651256,615588
11,633799,599482
12,612228,579659
13,594741,563562
14,585475,555093
15,582161,551619
16,582615,551251
17,586732,555106
18,591801,562520
19,593731,569577
20,603565,582030
21,628755,604668
22,665711,638319
23,708873,678812
24,752795,720132
25,808194,773537
26,857749,820710
27,888218,849351
28,904932,865597
29,904868,870412
30,930917,897764
31,955961,920898
32,951116,917105
33,925207,889396
34,876761,840112
35,856875,816434
36,833994,791319
37,780242,742029
38,728355,695002
39,682159,651443
40,655038,622764
41,632582,598197
42,602676,568841
43,582055,548699
44,562639,529755
45,563303,529440
46,558602,525950
47,530815,503166
48,507908,486899
49,473413,460476
50,451090,443729
51,433223,428030
52,411795,404368
53,405890,395451
54,398817,387704
55,392531,383229
56,380862,374039
57,362150,356658
58,346402,341817
59,327238,323220
60,309277,305723
61,297197,292406
62,285294,279885
63,276640,271041
64,271642,263772
65,263430,254640
66,250518,242654
67,235673,227732
68,207629,201398
69,180595,179048
70,166766,168411
71,153625,156703
72,141559,145902
73,130458,136144
74,120156,127356
75,110629,119269
76,101511,111643
77,92808,104618
78,84653,98126
79,76025,90849
80,66507,82058
81,56812,72576
82,47949,63636
83,40142,55412
84,32937,47311
85,26416,39510
86,20753,32332
87,16004,25988
88,12073,20451
89,8964,15854
90,6609,12206
91,4798,9260
92,3397,6845
93,2350,4936
94,1570,3434
95,987,2249
96,585,1393
97,335,833
98,184,479
99,97,264
100+,98,280
