Age,M,F
0,592880,564218
1,604582,575134
2,616071,585725
3,624920,593645
4,645107,612154
5,695992,659636
6,754573,714684
7,789107,747603
8,799812,755091
9,793480,745634
10,772943,726563
11,746688,703266
12,722822,682083
13,706058,667192
14,694182,656479
15,681507,644942
16,667963,632630
17,654819,620963
18,638672,606785
19,618383,588889
20,602057,574565
21,593828,567654
22,591464,565507
23,592743,566173
24,597448,570682
25,602811,578319
26,604755,585211
27,614239,597146
28,638691,618975
29,674617,651591
30,716561,690904
31,759163,730964
32,813062,783024
33,861133,828872
34,890282,856287
35,905814,871405
36,904750,875187
37,929515,901418
38,953274,923476
39,947462,918782
40,920822,890351
41,871913,840512
42,851192,816134
43,827506,790352
44,773401,740607
45,721182,693150
46,674615,649179
47,646822,619982
48,623615,594880
49,593110,565066
50,571694,544372
51,551447,524872
52,550715,523720
53,544683,519404
54,516188,496082
55,492435,479147
56,457527,452245
57,434348,434785
58,415448,418317
59,393118,394053
60,385529,384075
61,376762,375148
62,368709,369279
63,355683,358824
64,336248,340521
65,319743,324668
66,300247,305272
67,281950,286921
68,269053,272495
69,256303,258781
70,246376,248387
71,239441,239254
72,229238,228175
73,214454,214305
74,197600,197708
75,169732,171378
76,142975,148590
77,127210,135826
78,112151,122195
79,98145,109357
80,85237,97499
81,73351,86570
82,62473,76359
83,52570,66824
84,43877,58216
85,36308,50447
86,29166,42757
87,22411,34982
88,16553,27741
89,11940,21600
90,8476,16552
91,5854,12313
92,3918,8861
93,2545,6176
94,1604,4174
95,974,2721
96,571,1716
97,325,1052
98,177,619
99,90,342
100+,73,332
