Age,M,F
0,641321,608365
1,692460,656135
2,751889,711876
3,787006,745290
4,798076,753118
5,791981,743917
6,771626,725065
7,745528,701937
8,721745,680808
9,704900,665745
10,692680,654500
11,679308,641968
12,664693,628171
13,650157,614601
14,632396,598250
15,610386,578100
16,592341,561616
17,582447,552744
18,578492,548889
19,578361,548192
20,581991,551785
21,586713,559003
22,588457,565937
23,598201,578317
24,623327,600916
25,660231,634545
26,703341,675032
27,747207,716354
28,802485,769743
29,851920,816909
30,882331,845568
31,899036,861859
32,899034,866740
33,925025,894111
34,949994,917261
35,945189,913536
36,919383,885938
37,871120,836804
38,851250,813198
39,828364,788139
40,774761,738959
41,723015,692026
42,676933,648543
43,649808,619886
44,627297,595308
45,597381,565956
46,576661,545770
47,557106,526767
48,557422,526297
49,552349,522633
50,524413,499777
51,501296,483387
52,466740,456892
53,444228,440003
54,426080,424115
55,404443,400324
56,398024,391113
57,390389,383019
58,383471,378113
59,371240,368505
60,352174,350815
61,336065,335632
62,316740,316764
63,298733,299013
64,286488,285356
65,274447,272475
66,265513,263142
67,259976,255276
68,251196,245526
69,237786,232959
70,222358,217506
71,194370,191151
72,167567,168755
73,153074,157397
74,139224,145020
75,126299,133414
76,114196,122692
77,102849,112833
78,92248,103592
79,82128,94778
80,72556,86525
81,63733,78829
82,54894,70626
83,45906,61526
84,37385,52317
85,30011,43974
86,23817,36575
87,18455,29721
88,13921,23538
89,10243,18201
90,7370,13771
91,5167,10160
92,3561,7361
93,2432,5274
94,1632,3708
95,1058,2511
96,658,1635
97,389,1014
98,214,584
99,111,314
100+,105,313
