Age,M,F
0,580400,552655
1,593686,565065
2,605900,576359
3,617379,586962
4,626045,594747
5,646034,613110
6,696770,660471
7,755263,715431
8,789763,748293
9,800455,755743
10,794092,746242
11,773497,727118
12,747164,703758
13,723202,682508
14,706318,667546
15,694303,656761
16,681471,645150
17,667754,632755
18,654438,621000
19,638155,606752
20,617846,588864
21,601731,574743
22,594010,568300
23,592351,566798
24,594335,568110
25,599582,573112
26,605265,581040
27,607326,588034
28,616760,599924
29,641040,621607
30,676720,654018
31,718383,693095
32,760694,732912
33,814287,784723
34,862064,830337
35,890952,857538
36,906244,872461
37,904968,876065
38,929485,902109
39,952999,923990
40,946995,919146
41,920208,890594
42,871208,840660
43,850346,816170
44,826530,790284
45,772363,740467
46,720082,692944
47,673446,648909
48,645534,619633
49,622196,594449
50,591586,564563
51,570040,543783
52,549663,524193
53,548712,522907
54,542476,518456
55,513875,495039
56,489987,477986
57,455015,450993
58,431707,433406
59,412670,416807
60,390257,392449
61,382500,382313
62,373605,373221
63,365435,367163
64,352339,356538
65,332880,338110
66,316281,322097
67,296672,302551
68,278199,284024
69,265001,269356
70,251893,255364
71,241494,244607
72,233951,235041
73,223143,223515
74,207831,209224
75,190502,192262
76,162407,165672
77,135796,142846
78,119796,129743
79,104597,115874
80,90557,102853
81,77739,90871
82,66083,79889
83,55569,69719
84,46141,60318
85,37972,51906
86,30953,44392
87,24462,37097
88,18466,29894
89,13383,23325
90,9462,17848
91,6575,13421
92,4443,9784
93,2910,6892
94,1845,4690
95,1130,3085
96,664,1950
97,375,1187
98,205,701
99,107,395
100+,95,414
