Age,M,F
0,801125,755995
1,793735,745552
2,773289,726436
3,747306,703298
4,723495,682115
5,706466,666929
6,694010,655551
7,680455,642928
8,665791,629134
9,651386,615688
10,633928,599574
11,612361,579741
12,594883,563619
13,585628,555106
14,582317,551561
15,582767,551095
16,586875,554835
17,591928,562130
18,593830,569080
19,603640,581447
20,628817,604033
21,665775,637663
22,708950,678171
23,752899,719527
24,808362,772996
25,857996,820245
26,888544,848963
27,905341,865288
28,905346,870176
29,931509,897619
30,956661,920838
31,951885,917110
32,926009,889446
33,877561,840185
34,857726,816552
35,834896,791481
36,781148,742218
37,729268,695216
38,683085,651686
39,656013,623048
40,633610,598523
41,603740,569206
42,583174,549108
43,563818,530213
44,564604,529973
45,560021,526558
46,532294,503822
47,509466,487614
48,475008,461235
49,452762,444548
50,434986,428911
51,413630,405296
52,407875,396467
53,400951,388817
54,394836,384461
55,383317,375389
56,364715,358098
57,349093,343365
58,330013,324854
59,312120,307447
60,300128,294238
61,288282,281823
62,279702,273110
63,274827,265995
64,266724,257010
65,253902,245168
66,239171,230370
67,211060,204024
68,183964,181696
69,170313,171248
70,157373,159727
71,145542,149142
72,134702,139633
73,124693,131131
74,115489,123371
75,106716,116106
76,98364,109481
77,90567,103425
78,82204,96539
79,72761,87994
80,62961,78623
81,53845,69688
82,45700,61389
83,38033,53067
84,30960,44904
85,24712,37267
86,19387,30406
87,14896,24311
88,11280,19169
89,8491,15028
90,6300,11624
91,4559,8773
92,3228,6468
93,2207,4608
94,1427,3102
95,876,1982
96,519,1226
97,296,731
98,163,420
99,89,237
100+,91,255
