Age,M,F
0,774057,729362
1,743630,702291
2,716981,678219
3,701369,662470
4,691984,652290
5,679879,640610
6,665975,627501
7,652331,614720
8,634799,598343
9,612346,577443
10,594378,560665
11,586252,553461
12,585208,553348
13,586868,555291
14,590596,558900
15,595779,565128
16,600576,572606
17,611559,584745
18,637010,608162
19,673000,641883
20,714677,683192
21,758023,726925
22,808841,777604
23,858034,825307
24,889065,854371
25,908378,872779
26,914096,881062
27,930484,899628
28,952976,919678
29,948069,913533
30,928509,889767
31,888139,846144
32,859309,814687
33,833071,787699
34,780979,741265
35,729833,695313
36,686376,653266
37,657262,621379
38,636684,597505
39,609685,570363
40,588575,550846
41,570982,535270
42,563925,529105
43,560545,526417
44,535845,505916
45,512854,488450
46,483092,465933
47,457305,445671
48,441300,432022
49,421214,410607
50,414235,400746
51,408822,394278
52,401103,387538
53,391318,379921
54,373390,363865
55,355057,347488
56,337106,330195
57,318045,311423
58,304699,297951
59,294404,286577
60,285535,276938
61,280917,270106
62,273005,261392
63,260291,249783
64,245673,235182
65,217346,208775
66,190069,186453
67,176686,176316
68,164079,165101
69,152653,154873
70,142278,145787
71,132787,137784
72,124163,130596
73,116013,123980
74,108332,118094
75,101271,112885
76,93549,106806
77,84477,98873
78,74751,89894
79,65519,81241
80,57063,73087
81,48786,64623
82,40840,56020
83,33565,47705
84,27159,40005
85,21570,32937
86,16928,26791
87,13239,21712
88,10229,17398
89,7726,13633
90,5715,10466
91,4088,7782
92,2768,5484
93,1789,3688
94,1128,2419
95,689,1540
96,408,948
97,242,578
98,141,344
99,77,195
100+,79,212
